timestamp,edges_intersection_rate,lci_intersection_rate,median_intersection_rate,uci_intersection_rate,matched_paths,total_paths
20190121,0.9972507291195271,0.9961900477425024,0.9972507291195271,0.9993912845957992,74826.49,75014.02
20190123,0.971576507143841,0.9655891044852432,0.971576507143841,0.9856189139400087,73624.24,75674.05
20190128,0.8301371941965641,0.6594681654596348,0.8301371941965641,0.9557109580117258,657.58,797.0
20190129,0.9257839262187089,0.7524989208439001,0.9257839262187089,0.9981538670838719,665.11,722.56
20190130,0.8696302152912202,0.7041875297477391,0.8696302152912202,0.9638587757371163,625.8,733.47
20190220,0.7418081326490328,0.5206837920144372,0.7418081326490328,0.9142783213517555,455.44,622.44
20190225,0.9558299068557523,0.8877459490740741,0.9558299068557523,0.9992348234176386,1559.7,1632.26
20190226,0.9888407235413078,0.9335668002061445,0.9888407235413078,1.0,1894.93,1930.04
20190227,0.994146907662727,0.9456730036211168,0.994146907662727,1.0,1954.13,1980.13
20190228,0.9597742415276441,0.8996224325098477,0.9597742415276441,0.9975314560300843,1901.12,1978.47
20190303,0.9242123528730408,0.8635226622137405,0.9242123528730408,0.9823224023858876,2142.64,2313.18
20190304,0.8879291458101025,0.8168910213674714,0.8879291458101025,0.9680169926396903,2352.56,2656.12
20190306,0.9183453836144335,0.851027032119547,0.9183453836144335,0.9661911324182444,2507.01,2729.19
20190311,0.9017272963949019,0.8301736783239098,0.9017272963949019,0.9676264410617988,2511.24,2792.54
20190312,0.9841824471550195,0.9405708331918238,0.9841824471550195,1.0,2700.54,2753.43
